エリア	施設	タイムスタンプ	個人情報保護の方針について	全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）	石川県内での宿泊数をお答えください	石川県内での宿泊エリアをお答えください	石川県外での宿泊エリアをお答えください	今回はどなたと石川県を訪れていますか？	今回の石川県の訪問目的は何ですか？（複数選択可）	石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください	次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください	前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。	上記満足度の理由について、具体的に教えてください	今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）	今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり） ※石川県外からの交通費、石川県内での交通費を含む。	今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり） ※飲食、買い物、体験・観光などの消費額合計 ※宿泊費、交通費を除く	これまでに   当施設   には何度訪れたことがありますか。	今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）	当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(前)	当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(後)	当施設    における、消費総額をお答えください。（予定でも可/１人あたり）	当施設 における、商品・サービスの満足度をお答えください	上記満足度の理由につい具体的に教えてください。(サービス)	当施設   における、施設全体の満足度をお答えください。	上記満足度の理由につい具体的に教えてください。(施設全体)	当施設   において、不便を感じたり困ったことはありましたか。	上記不便を感じたり、困ったことについて具体的に教えてください	あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。	あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください	今後、再び石川県を訪れたいと思いますか	あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。  (※必須項目です。無ければ「特になし」とご記入ください)	性別をお答えください	生まれた年をお答えください	お住いの都道府県をお答えください	お住いの市区町村をお答えください 例：新宿区	世帯年収をお答えください	アンケートに回答しようと思った動機をお答えください	旅全体の総合満足度を教えてください。	石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。 ０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。	今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
金沢エリア	兼六駐車場	2026/01/05	同意する	1泊	石川県内には宿泊しない	石川県内には宿泊しない	福井県	親	まちあるき、都市散策, 蓮ノ空の聖地巡り	自家用車	自家用車			使わない	5,000円以上 10,000円未満	10,000円以上 20,000円未満	6～10回目	インターネット・アプリ, X(旧：Twitter), 友人・知人	ひがし茶屋街		近江町市場		1,000円未満	満足	観光がしやすかった	満足	立地が良い	感じなかった		9	兼六園から近く便利でした。	また行きたい（1年以内）	もっと蓮ノ空を大々的にしてほしい	女	2003	兵庫県	南あわじ市	900万円以上 1,000万円未満	景品が当たる, ひゃくまんさんが好き	とても満足	10	蓮ノ空の聖地を感じた
金沢エリア	兼六駐車場	2026/01/05	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	地元の美味しいものを食べる	自家用車	自家用車			10,000円以上 20,000円未満	3,000円以上 5,000円未満	30,000円以上 40,000円未満	2～5回目	観光展・物産展, 新聞・雑誌・ガイドブック, 観光パンフレット・ポスター, Instagram	近江町市場		ひがし茶屋街		1,000円未満	とても満足	トイレが綺麗でした。	とても満足	1台あたりの駐車場が広かったです。	感じなかった		10		また行きたい（1年以内）	北海道や沖縄のように海産物を郵送するサービスがもっと使いやす居場所にあるといい。	男	1994	岐阜県	羽島郡岐南町	800万円以上 900万円未満	景品が当たる, なんとなく	とても満足	10	近江町市場の方の人柄が良かったことです。
金沢エリア	金沢中央観光案内所	2026/01/05	同意する	3泊	3泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	宿でのんびり過ごす, 地元の美味しいものを食べる, 名所、旧跡の観光	新幹線	徒歩			5,000円以上 10,000円未満	30,000円以上 40,000円未満	20,000円以上 30,000円未満	初めて	観光パンフレット・ポスター, インターネット・アプリ, 中国のSNS「Red」	兼六園		近江町市場		使わない	満足		どちらでもない	Wifiが遅い	感じた	Wifiが遅い	6		どちらともいえない	PASMOなども北陸バスで使えるようになって欲しい	女	1987	東京都	中野区	600万円以上 700万円未満	景品が当たる	満足	7	観光地が集中していて回りやすい
金沢エリア	金沢中央観光案内所	2026/01/06	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	中学生以上連れの家族	温泉や露天風呂, 地元の美味しいものを食べる, 買い物、アウトレット, まちあるき、都市散策	飛行機	路線バス	満足	バスがわかりやすくクレカタッチできるので非常に便利だと思った。	10,000円以上 20,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ, X(旧：Twitter), Instagram	近江町市場		ひがし茶屋街		1,000円以上 3,000円未満	とても満足	趣きある建物が非日常的で心が落ち着くから	とても満足	とても落ち着きます	感じなかった		10		また行きたい（1年以内）	能登牛や生麩、お寿司など	女	1968	神奈川県	横浜市	800万円以上 900万円未満	景品が当たる	とても満足	10	食べ物が何と言っても美味しい。また人情味あって素敵な街だったから。
金沢エリア	金沢中央観光案内所	2026/01/06	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	親	温泉や露天風呂, 地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）	飛行機	路線バス	とても満足	バス停から行きやすい距離	10,000円以上 20,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ, Instagram	近江町市場		ひがし茶屋街		1,000円以上 3,000円未満	とても満足	昔の情景が美しいと感じたから	とても満足	普段見ることの出来ない景色と空気を感じたから	感じなかった		10	金箔の入った商品が会ってここにしかない魅力を感じた	また行きたい（1年以内）	金箔の商品もう少し安く手に入れば買いたい	女	2005	神奈川県	横浜市	800万円以上 900万円未満	景品が当たる	とても満足	10	能登牛炙りサーロインが口の中でとろけて今まで食べたお肉の中で1番美味しくて感動した。
金沢エリア	金沢国際ホテル	2026/01/07	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	自分ひとり	地元の美味しいものを食べる	自家用車	自家用車	とても満足	お料理が、美味しかった	5,000円以上 10,000円未満	使わない	10,000円以上 20,000円未満	6～10回目	友人・知人	ひがし茶屋街		選択なし/該当施設なし		1,000円以上 3,000円未満	とても満足		とても満足		感じなかった		5		また行きたい（1年以内）	海の幸が美味しい	女	1967	東京都	港区	700万円以上 800万円未満	景品が当たる	とても満足	5	お料理が、美味しい
金沢エリア	金沢中央観光案内所	2026/01/07	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	名所、旧跡の観光, まちあるき、都市散策, 各種体験（手作り、果物狩りなど）	自家用車	自家用車, 徒歩			50,000円以上 100,000円未満	20,000円以上 30,000円未満	40,000円以上 50,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	金沢城	選択なし/該当施設なし	第7ギョーザの店	使わない	満足		満足		感じなかった		9		また行きたい（1年以内）	特になし	女	1982	静岡県	浜松市	1,000万円以上 1,200万円未満	なんとなく	とても満足	10	観光する所が沢山あるのと食べ物も美味しい
金沢エリア	金沢中央観光案内所	2026/01/07	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	名所、旧跡の観光, まちあるき、都市散策	自家用車	自家用車, 徒歩	満足		50,000円以上 100,000円未満	20,000円以上 30,000円未満	40,000円以上 50,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	金沢城	選択なし/該当施設なし	第７ギョーザのみせ	使わない	満足	マンホールカードが貰いにきました。	満足		感じなかった		10		また行きたい（1年以内）	特になし	女	1984	静岡県	浜松市	1,000万円以上 1,200万円未満	なんとなく	とても満足	10	
金沢エリア	ARIGATO STAY KANAZAWA	2026/01/07	同意する	2泊	2泊	白山エリア （一里野温泉、白峰温泉、白山市など）	石川県外には泊まらない	自分ひとり	出張など仕事関係	新幹線	レンタカー	とても満足	北陸新幹線便利	5,000円以上 10,000円未満	40,000円以上 50,000円未満	100,000円以上	2～5回目	インターネット・アプリ	近江町市場		兼六園		20,000円以上 30,000円未満	とても満足	新鮮な海鮮	とても満足		感じなかった		10		また行きたい（1年以内）	鉄道関係の観光施設	女	1987	神奈川県	綾瀬市	1,000万円以上 1,200万円未満	景品が当たる	とても満足	10	
金沢エリア	ひがし茶屋休憩館	2026/01/08	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	友人	地元の美味しいものを食べる, 名所、旧跡の観光	新幹線	路線バス	不満	交通系のICが使えない	10,000円以上 20,000円未満	50,000円以上 100,000円未満	20,000円以上 30,000円未満	初めて	Instagram, 友人・知人	ひがし茶屋街		兼六園		5,000円以上 10,000円未満	満足	人がとても親切	とても満足	人がとても親切	感じなかった		10		また行きたい（1年以内）	特になし	男	1986	東京都	中野区	500万円以上 600万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	とても満足	10	
金沢エリア	スーパーホテルPremier金沢駅東口	2026/01/08	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	職場の同僚	名所、旧跡の観光	新幹線, 在来線	徒歩			10,000円以上 20,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	2～5回目	インターネット・アプリ, 友人・知人	兼六園		近江町市場		1,000円以上 3,000円未満	どちらでもない	店が閉まっていた	どちらでもない	建設中だった	感じなかった		4		機会があれば行きたい	特になし	男	1966	静岡県	伊東市	500万円以上 600万円未満	景品が当たる	どちらでもない	4	
金沢エリア	金沢蓄音器館	2026/01/08	同意する	4泊以上	3泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	京都	小学生以下連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光, 雪を見たいから	新幹線	路線バス	満足	すべてICカードが良いです。	10,000円以上 20,000円未満	1,000円以上 3,000円未満	50,000円以上 100,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		近江町市場		1,000円未満	満足	子供に優しい	満足	蓄音機の聴き比べが楽しかったです。	感じなかった		10	聴き比べがとても楽しいです。	機会があれば行きたい	安くて美味しいお店	女	1973	香川県	高松市	300万円以上 400万円未満	景品が当たる	とても満足	2	蒔絵体験
金沢エリア	ホテル・トリフィート金沢	2026/01/08	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	恋人	宿でのんびり過ごす, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光, 買い物、アウトレット, まちあるき、都市散策	飛行機	在来線, 路線バス	満足	バスの運転が荒くて酔ってしまったため。	3,000円以上 5,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		兼六園		1,000円未満	とても満足	早めにチェックインさせてもらったり、ウェルカムドリンクとお茶も美味しかったため。	満足	可もなく不可もなく、宿泊に欲しい要素がしっかりあったため。	感じなかった		8	お茶がおいしかったです。	また行きたい（1年以内）	お菓子のビーバーがとても好きなので、お土産用のバラエティパックなどが欲しいと思いました。	女	1999	東京都	荒川区	500万円以上 600万円未満	景品が当たる, なんとなく	とても満足	9	海鮮がとてもおいしかったため。
金沢エリア	長町武家屋敷休憩館	2026/01/09	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	自分ひとり	地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	新幹線, 在来線	徒歩			10,000円以上 20,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	6～10回目	新聞・雑誌・ガイドブック, 観光協会等の案内所	兼六園		尾山神社		使わない	とても満足	地図など資料がたくさんあるから	とても満足		感じなかった		8		また行きたい（1年以内）	次回はもっとたくさん体験（工芸）をしたいと思います	女	1966	京都府	長岡京市	100万円未満	景品が当たる, 動く３Dひゃくまんさんを見たい, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい	満足	10	見処や体験がたくさんあるから
